policy_no_f,contract_no_f
030303030393439,03837323738
030303030393733,03838333737
030303030333230,03332313832
030303030313131,03130343132
030303031393238,13231373133
030303031303334,03930393539
030303033323938,NULL
030303032383936,13639383638
030303031303536,03931373739
030303030363834,03637393333
030303031353037,13038303038
030303030363336,03632393432
030303032373536,13632383734
030303030303538,03035353032
030303030383337,03831333737
030303031353636,13039373431
030303033353139,13939393732
030303030353639,03535393836
030303030303137,03031343035
030303031363830,13133363934
030303030363931,03638363736
030303030303530,03034393432
030303030343338,03432343437
030303033313835,13833323237
030303032343133,13433383135
030303030303735,03036393637
030303032383230,13636323837
030303033343237,13935373238
030303031373339,13135383933
030303030323030,03139313635
030303030303139,03031363536
030303030303539,03035373139
030303031363930,13134303233
030303030353332,03532323639
030303030313234,03131393437
030303030353435,03533363531
030303030353530,03534323235
030303032353437,13532393433
030303031343637,13037303639
030303030383236,03830353435
030303030363738,03637313430
030303030313032,03039353435
930383937343833,03030313030
931383836383534,03030333238
932313034353639,03030333737
930333937363530,03030303430
930373737363935,03030303738
930343436393332,03030303435
930353838313135,03030303539
930353636363235,03030303537
930343238333132,03030303433
930363933363431,03030303639
932303639383738,03030333638
930333930333038,03030303430
931393033353532,03030333331
930353137323035,03030303532
931373833363234,03030333037
930333834313631,03030303339
931353930333538,03030323637
932313134333839,03030333830
930393733353538,03030313138
931393938383537,03030333530
931363639373237,03030323832
930333834303439,03030303339
931343938353338,03030323438
930333337333134,03030303334
930363237383138,03030303633
931303430373733,03030313430
932313035373134,03030333737
931373037383736,03030323931
931393733353733,03030333436
931303031333939,03030313235
931383034353235,03030333131
931363531353735,03030323739
931393339383730,03030333339
930323933313734,03030303330
930343837393431,03030303439
931383136393332,03030333134
931363234323138,03030323734
930343832393436,03030303439
930353732363436,03030303538
931313135373433,03030313632
930353733353338,03030303538
931393734333530,03030333436
931303339323133,03030313339
931333838303632,03030323334
931303539303935,03030313434
931303035323136,03030313236
930373034323338,03030303730
930323639393335,03030303238
930333438343435,03030303335
932303530333538,03030333635
931313536373232,03030313732
932313132383937,03030333739
931373531383034,03030333030
931373430303232,03030323938
931313235333137,03030313632
930323231363139,03030303232
931373332353331,03030323936
930353936303832,03030303630
